StudentId,QuizAttempts,AvgQuizScore,QuizPassRate,Submissions,AvgGrade,CompletionRate,DepartmentId,YearId,SquadronId
3860,0.0,0.0,0.0,0.0,0.0,0.0,2,1,4
589,0.0,0.0,0.0,0.0,0.0,0.8333,1,2,3
2482,0.0,0.0,0.0,2.0,14.0,0.4,1,4,1
4243,0.0,0.0,0.0,1.0,12.7,0.0,1,1,1
3840,0.0,0.0,0.0,0.0,0.0,1.0,2,1,3
1042,0.0,0.0,0.0,1.0,5.7,0.3333,2,3,3
2079,0.0,0.0,0.0,5.0,11.48,0.0,1,1,2
1898,2.0,56.0,0.5,0.0,0.0,0.0,1,2,2
4996,0.0,0.0,0.0,0.0,0.0,0.0,1,3,4
2557,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1
2162,11.0,38.775,0.2727,0.0,0.0,0.7273,3,2,2
512,0.0,0.0,0.0,2.0,1.5,0.6,1,2,1
2569,0.0,0.0,0.0,1.0,64.6,0.0,1,2,5
4449,0.0,0.0,0.0,5.0,26.9,0.7273,1,1,5
1490,0.0,0.0,0.0,4.0,12.9,0.5455,2,1,5
3083,3.0,49.4,0.0,1.0,26.3,0.0,1,3,4
3087,0.0,0.0,0.0,0.0,0.0,0.0,1,4,3
2666,0.0,0.0,0.0,0.0,0.0,0.0,1,3,3
2726,0.0,0.0,0.0,5.0,11.82,0.0,2,1,4
1813,0.0,0.0,0.0,0.0,0.0,0.0,3,4,2
2467,1.0,44.6,0.0,0.0,0.0,0.6667,1,3,5
683,0.0,0.0,0.0,0.0,0.0,0.0,2,2,4
3621,0.0,0.0,0.0,0.0,0.0,0.0,1,3,4
2327,0.0,0.0,0.0,3.0,14.0,0.0,1,1,4
1276,5.0,18.15,0.0,0.0,0.0,0.0,2,1,5
1749,0.0,0.0,0.0,0.0,0.0,0.0,1,1,5
3289,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2
4619,3.0,73.0,0.3333,0.0,0.0,0.0,3,3,5
1509,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3
